"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","2016","2017","2018","2019"
"Abiotic synthesis of amino acids in the recesses of the oceanic lithosphere","Menez, Benedicte; Pisapia, Celine; Andreani, Muriel; Jamme, Frederic; Vanbellingen, Quentin P.; Brunelle, Alain; Richard, Laurent; Dumas, Paul; Refregiers, Matthieu",NA,NA,NA,"NATURE","DEC 6 2018","2018","564","7734",NA,NA,NA,"59","+",NA,"10.1038/s41586-018-0684-z",NA,NA,"5","2.5",0,0,1,4
"An experiment to search for dark-matter interactions using sodium iodide detectors","Adhikari, Govinda; Adhikari, Pushparaj; de Souza, Estella Barbosa; Carlin, Nelson; Choi, Seonho; Djamal, Mitra; Ezeribe, Anthony C.; Ha, Chang Hyon; Hahn, Insik; Hubbard, Antonia J. F.; Jeon, Eunju; Jo, Jay Hyun; Joo, Hanwool; Kang, Woon Gu; Kang, Woosik; Kauer, Matthew; Kim, Bonghee; Kim, Hongjoo; Kim, Hyounggyu; Kim, Kyungwon; Kim, Nam Young; Kim, Sun Kee; Kim, Yeongduk; Kim, Yong-Hamb; Ko, Young Ju; Kudryavtsev, Vitaly A.; Lee, Hyun Su; Lee, Jaison; Lee, Jooyoung; Lee, Moo Hyun; Leonard, Douglas S.; Lynch, Warren A.; Maruyama, Reina H.; Mouton, Frederic; Olsen, Stephen L.; Park, Byungju; Park, Hyang Kyu; Park, Hyeonseo; Park, Jungsic; Park, Kangsoon; Pettus, Walter C.; Prihtiadi, Hafizh; Ra, Sejin; Rott, Carsten; Scarff, Andrew; Shin, Keon Ah; Spooner, Neil J. C.; Thompson, William G.; Yang, Liang; Yong, Seok Hyun","COSINE-100 Collaboration",NA,NA,"NATURE","DEC 6 2018","2018","564","7734",NA,NA,NA,"83","+",NA,"10.1038/s41586-018-0739-1",NA,NA,"5","2.5",0,0,0,5
"Transformation between meron and skyrmion topological spin textures in a chiral magnet","Yu, X. Z.; Koshibae, W.; Tokunaga, Y.; Shibata, K.; Taguchi, Y.; Nagaosa, N.; Tokura, Y.",NA,NA,NA,"NATURE","DEC 6 2018","2018","564","7734",NA,NA,NA,"95","+",NA,"10.1038/s41586-018-0745-3",NA,NA,"5","2.5",0,0,1,4
"Formyl-methionine as an N-degron of a eukaryotic N-end rule pathway","Kim, Jeong-Mok; Seok, Ok-Hee; Ju, Shinyeong; Heo, Ji-Eun; Yeom, Jeonghun; Kim, Da-Som; Yoo, Joo-Yeon; Varshavsky, Alexander; Lee, Cheolju; Hwang, Cheol-Sang",NA,NA,NA,"SCIENCE","NOV 30 2018","2018","362","6418",NA,NA,NA,"1019","+","eaat0174","10.1126/science.aat0174",NA,NA,"5","2.5",0,0,0,5
"Cultural flies: Conformist social learning in fruitflies predicts long-lasting mate-choice traditions","Danchin, Etienne; Nobel, Sabine; Pocheville, Arnaud; Dagaeff, Anne-Cecile; Demay, Lea; Alphand, Mathilde; Ranty-Roby, Sarah; van Renssen, Lara; Monier, Magdalena; Gazagne, Eva; Allain, Melanie; Isabel, Guillaume",NA,NA,NA,"SCIENCE","NOV 30 2018","2018","362","6418",NA,NA,NA,"1025","+",NA,"10.1126/science.aat1590",NA,NA,"5","2.5",0,0,1,4
"Fast track to the neocortex: A memory engram in the posterior parietal cortex","Brodt, S.; Gais, S.; Beck, J.; Erb, M.; Scheffler, K.; Schoenauer, M.",NA,NA,NA,"SCIENCE","NOV 30 2018","2018","362","6418",NA,NA,NA,"1045","+",NA,"10.1126/science.aau2528",NA,NA,"5","2.5",0,0,1,4
"The earliest human occupation of the high-altitude Tibetan Plateau 40 thousand to 30 thousand years ago","Zhang, X. L.; Ha, B. B.; Wang, S. J.; Chen, Z. J.; Ge, J. Y.; Long, H.; He, W.; Da, W.; Nian, X. M.; Yi, M. J.; Zhou, X. Y.; Zhang, P. Q.; Jin, Y. S.; Bar-Yosef, O.; Olsen, J. W.; Gao, X.",NA,NA,NA,"SCIENCE","NOV 30 2018","2018","362","6418",NA,NA,NA,"1049","+",NA,"10.1126/science.aat8824",NA,NA,"5","2.5",0,0,2,3
"Molecular to organismal chirality is induced by the conserved myosin 1D","Lebreton, G.; Geminard, C.; Lapraz, F.; Pyrpassopoulos, S.; Cerezo, D.; Speder, P.; Ostap, E. M.; Noselli, S.",NA,NA,NA,"SCIENCE","NOV 23 2018","2018","362","6417",NA,NA,NA,"949","+",NA,"10.1126/science.aat8642",NA,NA,"5","2.5",0,0,0,5
"Controlled crack propagation for atomic precision handling of wafer-scale two-dimensional materials","Shim, Jaewoo; Bae, Sang-Hoon; Kong, Wei; Lee, Doyoon; Qiao, Kuan; Nezich, Daniel; Park, Yong Ju; Zhao, Ruike; Sundaram, Suresh; Li, Xin; Yeon, Hanwool; Choi, Chanyeol; Kum, Hyun; Yue, Ruoyu; Zhou, Guanyu; Ou, Yunbo; Lee, Kyusang; Moodera, Jagadeesh; Zhao, Xuanhe; Ahn, Jong-Hyun; Hinkle, Christopher; Ougazzaden, Abdallah; Kim, Jeehwan",NA,NA,NA,"SCIENCE","NOV 9 2018","2018","362","6415",NA,NA,NA,"665","+",NA,"10.1126/science.aat8126",NA,NA,"5","2.5",0,0,1,4
"Gene expression variability across cells and species shapes innate immunity","Hagai, Tzachi; Chen, Xi; Miragaia, Ricardo J.; Rostom, Raghd; Gomes, Tomas; Kunowska, Natalia; Henriksson, Johan; Park, Jong-Eun; Proserpio, Valentina; Donati, Giacomo; Bossini-Castillo, Lara; Braga, Felipe A. Vieira; Naamati, Guy; Fletcher, James; Stephenson, Emily; Vegh, Peter; Trynka, Gosia; Kondova, Ivanela; Dennis, Mike; Haniffa, Muzlifah; Nourmohammad, Armita; Laessig, Michael; Teichmann, Sarah A.",NA,NA,NA,"NATURE","NOV 8 2018","2018","563","7730",NA,NA,NA,"197","+",NA,"10.1038/s41586-018-0657-2",NA,NA,"5","2.5",0,0,1,4
"Reassessing evidence of life in 3,700-million-year-old rocks of Greenland","Allwood, Abigail C.; Rosing, Minik T.; Flannery, David T.; Hurowitz, Joel A.; Heirwegh, Christopher M.",NA,NA,NA,"NATURE","NOV 8 2018","2018","563","7730",NA,NA,NA,"241","+",NA,"10.1038/s41586-018-0610-4",NA,NA,"5","2.5",0,0,2,3
"Defining the human C2H2 zinc finger degrome targeted by thalidomide analogs through CRBN","Sievers, Quinlan L.; Petzold, Georg; Bunker, Richard D.; Renneville, Aline; Slabicki, Mikolaj; Liddicoat, Brian J.; Abdulrahman, Wassim; Mikkelsen, Tarjei; Ebert, Benjamin L.; Thoma, Nicolas H.",NA,NA,NA,"SCIENCE","NOV 2 2018","2018","362","6414",NA,NA,"SI","558","+","eaat0572","10.1126/science.aat0572",NA,NA,"5","2.5",0,0,0,5
"A general synthesis approach for supported bimetallic nanoparticles via surface inorganometallic chemistry","Ding, Kunlun; Cullen, David A.; Zhang, Laibao; Cao, Zhi; Roy, Amitava D.; Ivanov, Ilia N.; Cao, Dongmei",NA,NA,NA,"SCIENCE","NOV 2 2018","2018","362","6414",NA,NA,"SI","560","+",NA,"10.1126/science.aau4414",NA,NA,"5","2.5",0,0,1,4
"Ultrafast disordering of vanadium dimers in photoexcited VO2","Wall, Simon; Yang, Shan; Vidas, Luciana; Chollet, Matthieu; Glownia, James M.; Kozina, Michael; Katayama, Tetsuo; Henighan, Thomas; Jiang, Mason; Miller, Timothy A.; Reis, David A.; Boatner, Lynn A.; Delaire, Olivier; Trigo, Mariano",NA,NA,NA,"SCIENCE","NOV 2 2018","2018","362","6414",NA,NA,"SI","572","+",NA,"10.1126/science.aau3873",NA,NA,"5","2.5",0,0,1,4
"East Asian hydroclimate modulated by the position of the westerlies during Termination I","Zhang, Hongbin; Griffiths, Michael L.; Chiang, John C. H.; Kong, Wenwen; Wu, Shitou; Atwood, Alyssa; Huang, Junhua; Cheng, Hai; Ning, Youfeng; Xie, Shucheng",NA,NA,NA,"SCIENCE","NOV 2 2018","2018","362","6414",NA,NA,"SI","580","+",NA,"10.1126/science.aat9393",NA,NA,"5","2.5",0,0,2,3
"A cortico-cerebellar loop for motor planning","Gao, Zhenyu; Davis, Courtney; Thomas, Alyse M.; Economo, Michael N.; Abrego, Amada M.; Svoboda, Karel; De Zeeuw, Chris I.; Li, Nuo",NA,NA,NA,"NATURE","NOV 1 2018","2018","563","7729",NA,NA,NA,"113","+",NA,"10.1038/s41586-018-0633-x",NA,NA,"5","2.5",0,0,0,5
"Cryo-EM structure of the Ebola virus nucleoprotein-RNA complex at 3.6 angstrom resolution","Sugita, Yukihiko; Matsunami, Hideyuki; Kawaoka, Yoshihiro; Noda, Takeshi; Wolf, Matthias",NA,NA,NA,"NATURE","NOV 1 2018","2018","563","7729",NA,NA,NA,"137","+",NA,"10.1038/s41586-018-0630-0",NA,NA,"5","2.5",0,0,0,5
"Single-cell analysis uncovers convergence of cell identities during axolotl limb regeneration","Gerber, Tobias; Murawala, Prayag; Knapp, Dunja; Masselink, Wouter; Schuez, Maritta; Hermann, Sarah; Gac-Santel, Malgorzata; Nowoshilow, Sergej; Kageyama, Jorge; Khattak, Shahryar; Currie, Joshua D.; Camp, J. Gray; Tanaka, Elly M.; Treutlein, Barbara",NA,NA,NA,"SCIENCE","OCT 26 2018","2018","362","6413",NA,NA,NA,"421","+","eaaq0681","10.1126/science.aaq0681",NA,NA,"5","2.5",0,0,1,4
"The paraventricular thalamus is a critical thalamic area for wakefulness","Ren, Shuancheng; Wang, Yaling; Yue, Faguo; Cheng, Xiaofang; Dang, Ruozhi; Qiao, Qicheng; Sun, Xueqi; Li, Xin; Jiang, Qian; Yao, Jiwei; Qin, Han; Wang, Guanzhong; Liao, Xiang; Gao, Dong; Xia, Jianxia; Zhang, Jun; Hu, Bo; Yan, Junan; Wang, Yanjiang; Xu, Min; Han, Yunyun; Tang, Xiangdong; Chen, Xiaowei; He, Chao; Hu, Zhian",NA,NA,NA,"SCIENCE","OCT 26 2018","2018","362","6413",NA,NA,NA,"429","+",NA,"10.1126/science.aat2512",NA,NA,"5","2.5",0,0,1,4
"Rock fluidization during peak-ring formation of large impact structures","Riller, Ulrich; Poelchau, Michael H.; Rae, Auriol S. P.; Schulte, Felix M.; Collins, Gareth S.; Melosh, H. Jay; Grieve, Richard A. F.; Morgan, Joanna V.; Gulick, Sean P. S.; Lofi, Johanna; Diaw, Abdoulaye; McCall, Naoma; Kring, David A.","IODP-ICODP Expedition 364",NA,NA,"NATURE","OCT 25 2018","2018","562","7728",NA,NA,NA,"511","+",NA,"10.1038/s41586-018-0607-z",NA,NA,"5","2.5",0,0,1,4
"A protein functionalization platform based on selective reactions at methionine residues","Taylor, Michael T.; Nelson, Jennifer E.; Suero, Marcos G.; Gaunt, Matthew J.",NA,NA,NA,"NATURE","OCT 25 2018","2018","562","7728",NA,NA,NA,"563","568",NA,"10.1038/s41586-018-0608-y",NA,NA,"5","2.5",0,0,0,5
"Quantum advantage with shallow circuits","Bravyi, Sergey; Gosset, David; Koenig, Robert",NA,NA,NA,"SCIENCE","OCT 19 2018","2018","362","6412",NA,NA,NA,"308","+",NA,"10.1126/science.aar3106",NA,NA,"5","2.5",0,0,2,3
"DNGR-1 in dendritic cells limits tissue damage by dampening neutrophil recruitment","del Fresno, Carlos; Saz-Leal, Paula; Enamorado, Michel; Wculek, Stefanie K.; Martinez-Cano, Sarai; Blanco-Menendez, Noelia; Schulz, Oliver; Gallizioli, Mattia; Miro-Mur, Francesc; Cano, Eva; Planas, Anna; Sancho, David",NA,NA,NA,"SCIENCE","OCT 19 2018","2018","362","6412",NA,NA,NA,"351","+",NA,"10.1126/science.aan8423",NA,NA,"5","2.5",0,0,3,2
"Subcycle observation of lightwave-driven Dirac currents in a topological surface band","Reimann, J.; Schlauderer, S.; Schmid, C. P.; Langer, F.; Baierl, S.; Kokh, K. A.; Tereshchenko, O. E.; Kimura, A.; Lange, C.; Guedde, J.; Hoefer, U.; Huber, R.",NA,NA,NA,"NATURE","OCT 18 2018","2018","562","7727",NA,NA,NA,"396","+",NA,"10.1038/s41586-018-0544-x",NA,NA,"5","2.5",0,0,2,3
"A slow-cycling LGR5 tumour population mediates basal cell carcinoma relapse after therapy","Sanchez-Danes, Adriana; Larsimont, Jean-Christophe; Liagre, Melanie; Munoz-Couselo, Eva; Lapouge, Gaelle; Brisebarre, Audrey; Dubois, Christine; Suppa, Mariano; Sukumaran, Vijayakumar; del Marmol, Veronique; Tabernero, Josep; Blanpain, Cedric",NA,NA,NA,"NATURE","OCT 18 2018","2018","562","7727",NA,NA,NA,"434","+",NA,"10.1038/s41586-018-0603-3",NA,NA,"5","2.5",0,0,1,4
"A hot and fast ultra-stripped supernova that likely formed a compact neutron star binary","De, K.; Kasliwal, M. M.; Ofek, E. O.; Moriya, T. J.; Burke, J.; Cao, Y.; Cenko, S. B.; Doran, G. B.; Duggan, G. E.; Fender, R. P.; Fransson, C.; Gal-Yam, A.; Horesh, A.; Kulkarni, S. R.; Laher, R. R.; Lunnan, R.; Manulis, I.; Masci, F.; Mazzali, P. A.; Nugent, P. E.; Perley, D. A.; Petrushevska, T.; Piro, A. L.; Rumsey, C.; Sollerman, J.; Sullivan, M.; Taddia, F.",NA,NA,NA,"SCIENCE","OCT 12 2018","2018","362","6411",NA,NA,"SI","201","206",NA,"10.1126/science.aas8693",NA,NA,"5","2.5",0,0,0,5
"Principles of nucleosome organization revealed by single-cell micrococcal nuclease sequencing","Lai, Binbin; Gao, Weiwu; Cui, Kairong; Xie, Wanli; Tang, Qingsong; Jin, Wenfei; Hu, Gangqing; Ni, Bing; Zhao, Keji",NA,NA,NA,"NATURE","OCT 11 2018","2018","562","7726",NA,NA,NA,"281","+",NA,"10.1038/s41586-018-0567-3",NA,NA,"5","2.5",0,0,3,2
"Slab2, a comprehensive subduction zone geometry model","Hayes, Gavin P.; Moore, Ginevra L.; Portner, Daniel E.; Hearne, Mike; Flamme, Hanna; Furtney, Maria; Smoczyk, Gregory M.",NA,NA,NA,"SCIENCE","OCT 5 2018","2018","362","6410",NA,NA,"SI","58","61",NA,"10.1126/science.aat4723",NA,NA,"5","2.5",0,0,0,5
"Rapid change of superconductivity and electron-phonon coupling through critical doping in Bi-2212","He, Y.; Hashimoto, M.; Song, D.; Chen, S. -D.; He, J.; Vishik, I. M.; Moritz, B.; Lee, D. -H.; Nagaosa, N.; Zaanen, J.; Devereaux, T. P.; Yoshida, Y.; Eisaki, H.; Lu, D. H.; Shen, Z. -X.",NA,NA,NA,"SCIENCE","OCT 5 2018","2018","362","6410",NA,NA,"SI","62","+",NA,"10.1126/science.aar3394",NA,NA,"5","2.5",0,0,1,4
"An abstract drawing from the 73,000-year-old levels at Blombos Cave, South Africa","Henshilwood, Christopher S.; d'Errico, Francesco; van Niekerk, Karen L.; Dayet, Laure; Queffelec, Alain; Pollarolo, Luca",NA,NA,NA,"NATURE","OCT 4 2018","2018","562","7725",NA,NA,NA,"115","+",NA,"10.1038/s41586-018-0514-3",NA,NA,"5","2.5",0,0,2,3
"A mechanism for preventing asymmetric histone segregation onto replicating DNA strands","Yu, Chuanhe; Gan, Haiyun; Serra-Cardona, Albert; Zhang, Lin; Gan, Songlin; Sharma, Sushma; Johansson, Erik; Chabes, Andrei; Xu, Rui-Ming; Zhang, Zhiguo",NA,NA,NA,"SCIENCE","SEP 28 2018","2018","361","6409",NA,NA,"SI","1386","+",NA,"10.1126/science.aat8849",NA,NA,"5","2.5",0,0,4,1
"MCM2 promotes symmetric inheritance of modified histones during DNA replication","Petryk, Nataliya; Dalby, Maria; Wenger, Alice; Stromme, Caroline B.; Strandsby, Anne; Andersson, Robin; Groth, Anja",NA,NA,NA,"SCIENCE","SEP 28 2018","2018","361","6409",NA,NA,"SI","1389","1391",NA,"10.1126/science.aau0294",NA,NA,"5","2.5",0,0,3,2
"A topological source of quantum light","Mittal, Sunil; Goldschmidt, Elizabeth A.; Hafezi, Mohammad",NA,NA,NA,"NATURE","SEP 27 2018","2018","561","7724",NA,NA,NA,"502","+",NA,"10.1038/s41586-018-0478-3",NA,NA,"5","2.5",0,0,1,4
"The periodic coloration in birds forms through a prepattern of somite origin","Haupaix, Nicolas; Curantz, Camille; Bailleul, Richard; Beck, Samantha; Robic, Annie; Manceau, Marie",NA,NA,NA,"SCIENCE","SEP 21 2018","2018","361","6408",NA,NA,"SI","1216","+","eaar4777","10.1126/science.aar4777",NA,NA,"5","2.5",0,0,2,3
"Structural mechanisms of selectivity and gating in anion channelrhodopsins","Kato, Hideaki E.; Kim, Yoon Seok; Paggi, Joseph M.; Evans, Kathryn E.; Allen, William E.; Richardson, Claire; Inoue, Keiichi; Ito, Shota; Ramakrishnan, Charu; Fenno, Lief E.; Yamashita, Keitaro; Hilger, Daniel; Lee, Soo Yeun; Berndt, Andre; Shen, Kang; Kandori, Hideki; Dror, Ron O.; Kobilka, Brian K.; Deisseroth, Karl",NA,NA,NA,"NATURE","SEP 20 2018","2018","561","7723",NA,NA,NA,"349","+",NA,"10.1038/s41586-018-0504-5",NA,NA,"5","2.5",0,0,3,2
"Absolute timing of the photoelectric effect","Ossiander, M.; Riemensberger, J.; Neppl, S.; Mittermair, M.; Schaeffer, M.; Duensing, A.; Wagner, M. S.; Heider, R.; Wurzer, M.; Gerl, M.; Schnitzenbaumer, M.; Barth, J. V.; Libisch, F.; Lemell, C.; Burgdoerfer, J.; Feulner, P.; Kienberger, R.",NA,NA,NA,"NATURE","SEP 20 2018","2018","561","7723",NA,NA,NA,"374","+",NA,"10.1038/s41586-018-0503-6",NA,NA,"5","2.5",0,0,2,3
"Experimental and computational framework for a dynamic protein atlas of human cell division","Cai, Yin; Hossain, M. Julius; Heriche, Jean-Karim; Politi, Antonio Z.; Walther, Nike; Koch, Birgit; Wachsmuth, Malte; Nijmeijer, Bianca; Kueblbeck, Moritz; Martinic-Kavur, Marina; Ladurner, Rene; Alexander, Stephanie; Peters, Jan-Michael; Ellenberg, Jan",NA,NA,NA,"NATURE","SEP 20 2018","2018","561","7723",NA,NA,NA,"411","+",NA,"10.1038/s41586-018-0518-z",NA,NA,"5","2.5",0,0,1,4
"Recurrent cortical circuits implement concentration-invariant odor coding","Bolding, Kevin A.; Franks, Kevin M.",NA,NA,NA,"SCIENCE","SEP 14 2018","2018","361","6407",NA,NA,NA,"1088","+","eaat6904","10.1126/science.aat6904",NA,NA,"5","2.5",0,0,1,4
"An ER surface retrieval pathway safeguards the import of mitochondrial membrane proteins in yeast","Hansen, Katja G.; Aviram, Naama; Laborenz, Janina; Bibi, Chen; Meyer, Maren; Spang, Anne; Schuldiner, Maya; Herrmann, Johannes M.",NA,NA,NA,"SCIENCE","SEP 14 2018","2018","361","6407",NA,NA,NA,"1118","+",NA,"10.1126/science.aar8174",NA,NA,"5","2.5",0,0,2,3
"Ribonucleotide incorporation enables repair of chromosome breaks by nonhomologous end joining","Pryor, John M.; Conlin, Michael P.; Carvajal-Garcia, Juan; Luedeman, Megan E.; Luthman, Adam J.; Small, George W.; Ramsden, Dale A.",NA,NA,NA,"SCIENCE","SEP 14 2018","2018","361","6407",NA,NA,NA,"1126","1129",NA,"10.1126/science.aat2477",NA,NA,"5","2.5",0,0,2,3
"Hundred-fold enhancement in far-field radiative heat transfer over the blackbody limit","Thompson, Dakotah; Zhu, Linxiao; Mittapally, Rohith; Sadat, Seid; Xing, Zhen; McArdle, Patrick; Qazilbash, M. Mumtaz; Reddy, Pramod; Meyhofer, Edgar",NA,NA,NA,"NATURE","SEP 13 2018","2018","561","7722",NA,NA,NA,"216","+",NA,"10.1038/s41586-018-0480-9",NA,NA,"5","2.5",0,0,1,4
"An orthogonal proteomic survey uncovers novel Zika virus host factors","Scaturro, Pietro; Stukalov, Alexey; Haas, Darya A.; Cortese, Mirko; Draganova, Kalina; Plaszczyca, Anna; Bartenschlager, Ralf; Goetz, Magdalena; Pichlmair, Andreas",NA,NA,NA,"NATURE","SEP 13 2018","2018","561","7722",NA,NA,NA,"253","+",NA,"10.1038/s41586-018-0484-5",NA,NA,"5","2.5",0,0,0,5
"Fast molecular outflow from a dusty star-forming galaxy in the early Universe","Spilker, J. S.; Aravena, M.; Bethermin, M.; Chapman, S. C.; Chen, C-C; Cunningham, D. J. M.; De Breuck, C.; Dong, C.; Gonzalez, A. H.; Hayward, C. C.; Hezaveh, Y. D.; Litke, K. C.; Ma, J.; Malkan, M.; Marrone, D. P.; Miller, T. B.; Morningstar, W. R.; Narayanan, D.; Phadke, K. A.; Sreevani, J.; Stark, A. A.; Vieira, J. D.; Weiss, A.",NA,NA,NA,"SCIENCE","SEP 7 2018","2018","361","6406",NA,NA,NA,"1016","+",NA,"10.1126/science.aap8900",NA,NA,"5","2.5",0,0,2,3
"A complex dynamo inferred from the hemispheric dichotomy of Jupiter's magnetic field","Moore, Kimberly M.; Yadav, Rakesh K.; Kulowski, Laura; Cao, Hao; Bloxham, Jeremy; Connerney, John E. P.; Kotsiaros, Stavros; Jorgensen, John L.; Merayo, Jose M. G.; Stevenson, David J.; Bolton, Scott J.; Levin, Steven M.",NA,NA,NA,"NATURE","SEP 6 2018","2018","561","7721",NA,NA,NA,"76","78",NA,"10.1038/s41586-018-0468-5",NA,NA,"5","2.5",0,0,2,3
"Modulating plant growth-metabolism coordination for sustainable agriculture","Li, Shan; Tian, Yonghang; Wu, Kun; Ye, Yafeng; Yu, Jianping; Zhang, Jianqing; Liu, Qian; Hu, Mengyun; Li, Hui; Tong, Yiping; Harberd, Nicholas P.; Fu, Xiangdong",NA,NA,NA,"NATURE","AUG 30 2018","2018","560","7720",NA,NA,NA,"595","+",NA,"10.1038/s41586-018-0415-5",NA,NA,"5","2.5",0,0,4,1
"Probing high-momentum protons and neutrons in neutron-rich nuclei","Duer, M.; Collaboration, C. L. A. S.; Hen, O.; Piasetzky, E.; Hakobyan, H.; Weinstein, L. B.; Braverman, M.; Cohen, E. O.; Higinbotham, D.; Adhikari, K. P.; Adhikari, S.; Amaryan, M. J.; Arrington, J.; Ashkenazi, A.; Ball, J.; Balossino, I.; Barion, L.; Battaglieri, M.; Batourine, V.; Beck, A.; Bedlinskiy, I.; Biselli, A. S.; Boiarinov, S.; Briscoe, W. J.; Brooks, W. K.; Bueltmann, S.; Bulumulla, D.; Burkert, V. D.; Cao, F.; Carman, D. S.; Celentano, A.; Charles, G.; Chetry, T.; Ciullo, G.; Clark, L.; Clary, B. A.; Cole, P. L.; Contalbrigo, M.; Cortes, O.; Crede, V.; Cruz-Torres, R.; D'Angelo, A.; Dashyan, N.; De Vita, R.; De Sanctis, E.; Defurne, M.; Deur, A.; Djalali, C.; Dodge, G.; Dupre, R.; Egiyan, H.; El Alaoui, A.; El Fassi, L.; Eugenio, P.; Fersch, R.; Filippi, A.; Forest, T. A.; Gavalian, G.; Ghandilyan, Y.; Gilad, S.; Gilfoyle, G. P.; Giovanetti, K. L.; Girod, F. X.; Golovatch, E.; Gothe, R. W.; Griffoen, K. A.; Guo, L.; Harrison, N.; Hattawy, M.; Hauenstein, F.; Hafidi, K.; Hicks, K.; Holtrop, M.; Hyde, C. E.; Ilieva, Y.; Ireland, D. G.; Ishkhanov, B. S.; Isupov, E. L.; Joo, K.; Kabir, M. L.; Keller, D.; Khachatryan, G.; Khachatryan, M.; Khandaker, M.; Kim, A.; Kim, W.; Klein, A.; Klein, F. J.; Korover, I.; Kuhn, S. E.; Lanza, L.; Laskaris, G.; Lenisa, P.; Livingston, K.; MacGregor, I. J. D.; Marchand, C.; Markov, N.; McKinnon, B.; Beck, S. Mey-Tal; Mineeva, T.; Mirazita, M.; Mokeev, V.; Montgomery, R. A.; Movsisyan, A.; Munoz-Camacho, C.; Mustapha, B.; Nadeeshani, S.; Nadel-Turonski, P.; Niccolai, S.; Niculescu, G.; Osipenko, M.; Ostrovidov, A. I.; Paolone, M.; Pasyuk, E.; Patsyuk, M.; Papadopoulou, A.; Park, K.; Payette, D.; Phelps, W.; Pogorelko, O.; Poudel, J.; Price, J. W.; Procureur, S.; Prok, Y.; Protopopescu, D.; Ripani, M.; Rizzo, A.; Rosner, G.; Rossi, P.; Sabatie, F.; Schmidt, A.; Salgado, C.; Schmookler, B. A.; Schumacher, R. A.; Segarra, E. P.; Sharabian, Y. G.; Smith, G. D.; Sokhan, D.; Sparveris, N.; Stepanyan, S.; Strauch, S.; Taiuti, M.; Tan, J. A.; Ungaro, M.; Voskanyan, H.; Voutier, E.; Watts, D. P.; Wei, X.; Zachariou, N.; Zhang, J.; Zheng, X.; Zhao, Z. W.",NA,NA,NA,"NATURE","AUG 30 2018","2018","560","7720",NA,NA,NA,"617","+",NA,"10.1038/s41586-018-0400-z",NA,NA,"5","2.5",0,0,1,4
"Crystal structure of the Frizzled 4 receptor in a ligand-free state","Yang, Shifan; Wu, Yiran; Xu, Ting-Hai; de Waal, Parker W.; He, Yuanzheng; Pu, Mengchen; Chen, Yuxiang; DeBruine, Zachary J.; Zhang, Bingjie; Zaidi, Saheem A.; Popov, Petr; Guo, Yu; Han, Gye Won; Lu, Yang; Suino-Powell, Kelly; Dong, Shaowei; Harikumar, Kaleeckal G.; Miller, Laurence J.; Katritch, Vsevolod; Xu, H. Eric; Shui, Wenqing; Stevens, Raymond C.; Melcher, Karsten; Zhao, Suwen; Xu, Fei",NA,NA,NA,"NATURE","AUG 30 2018","2018","560","7720",NA,NA,NA,"666","+",NA,"10.1038/s41586-018-0447-x",NA,NA,"5","2.5",0,0,2,3
"Interaction-driven quantum Hall wedding cake-like structures in graphene quantum dots","Gutierrez, Christopher; Walkup, Daniel; Ghahari, Fereshte; Lewandowski, Cyprian; Rodriguez-Nieva, Joaquin F.; Watanabe, Kenji; Taniguchi, Takashi; Levitov, Leonid S.; Zhitenev, Nikolai B.; Stroscio, Joseph A.",NA,NA,NA,"SCIENCE","AUG 24 2018","2018","361","6404",NA,NA,NA,"789","793",NA,"10.1126/science.aar2014",NA,NA,"5","2.5",0,0,2,3
"Reverse weathering as a long-term stabilizer of marine pH and planetary climate","Isson, Terry T.; Planavsky, Noah J.",NA,NA,NA,"NATURE","AUG 23 2018","2018","560","7719",NA,NA,NA,"471","+",NA,"10.1038/s41586-018-0408-4",NA,NA,"5","2.5",0,0,0,5
"Estimating global agricultural effects of geoengineering using volcanic eruptions","Proctor, Jonathan; Hsiang, Solomon; Burney, Jennifer; Burke, Marshall; Schlenker, Wolfram",NA,NA,NA,"NATURE","AUG 23 2018","2018","560","7719",NA,NA,NA,"480","+",NA,"10.1038/s41586-018-0417-3",NA,NA,"5","2.5",0,0,3,2
"Automethylation-induced conformational switch in Clr4 (Suv39h) maintains epigenetic stability","Iglesias, Nahid; Currie, Mark A.; Jih, Gloria; Paulo, Joao A.; Siuti, Nertila; Kalocsay, Marian; Gygi, Steven P.; Moazed, Danesh",NA,NA,NA,"NATURE","AUG 23 2018","2018","560","7719",NA,NA,NA,"504","+",NA,"10.1038/s41586-018-0398-2",NA,NA,"5","2.5",0,0,2,3
"Shared evolutionary origin of vertebrate neural crest and cranial placodes","Horie, Ryoko; Hazbun, Alex; Chen, Kai; Cao, Chen; Levine, Michael; Horie, Takeo",NA,NA,NA,"NATURE","AUG 9 2018","2018","560","7717",NA,NA,NA,"228","+",NA,"10.1038/s41586-018-0385-7",NA,NA,"5","2.5",0,0,1,4
"Lectins modulate the microbiota of social amoebae","Dinh, Christopher; Farinholt, Timothy; Hirose, Shigenori; Zhuchenko, Olga; Kuspa, Adam",NA,NA,NA,"SCIENCE","JUL 27 2018","2018","361","6400",NA,NA,"SI","402","+",NA,"10.1126/science.aat2058",NA,NA,"5","2.5",0,0,1,4
